true_class,total_instances,ties,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,correct,correct_pct
1,18540,2,13107.0,308.0,968.0,959.0,1678.0,306.0,1178.0,8.0,26.0,13107.0,0.706957928802589
2,5241,1,103.0,3553.0,376.0,119.0,123.0,159.0,792.0,2.0,13.0,3553.0,0.677924060293837
3,3802,0,3.0,77.0,1913.0,324.0,250.0,59.0,1142.0,0.0,34.0,1913.0,0.5031562335612836
4,972,0,4.0,5.0,61.0,458.0,111.0,68.0,113.0,6.0,146.0,458.0,0.4711934156378601
5,700,0,3.0,1.0,12.0,35.0,483.0,70.0,28.0,43.0,25.0,483.0,0.69
6,613,0,0.0,5.0,27.0,61.0,57.0,264.0,44.0,4.0,151.0,264.0,0.43066884176182707
7,549,0,1.0,11.0,86.0,33.0,42.0,9.0,366.0,0.0,1.0,366.0,0.6666666666666666
8,257,0,0.0,0.0,0.0,2.0,9.0,3.0,0.0,215.0,28.0,215.0,0.8365758754863813
9,203,0,0.0,0.0,0.0,15.0,3.0,24.0,5.0,5.0,151.0,151.0,0.7438423645320197
