Cluster,Class,Count,Percentage of class (%)
0,1,3364,18.14
0,2,105,2.0
0,3,9,0.24
0,4,18,1.85
0,5,7,1.0
0,6,1,0.16
0,7,1,0.18
0,9,1,0.49
1,1,4431,23.9
1,2,209,3.99
1,3,327,8.6
1,4,108,11.11
1,5,109,15.57
1,6,21,3.43
1,7,10,1.82
1,9,1,0.49
2,1,197,1.06
2,2,1377,26.27
2,3,485,12.76
2,4,52,5.35
2,5,3,0.43
2,6,34,5.55
2,7,1,0.18
2,8,1,0.39
2,9,26,12.81
3,1,1286,6.94
3,2,1179,22.5
3,3,522,13.73
3,4,300,30.86
3,5,30,4.29
3,6,353,57.59
3,7,7,1.28
3,8,53,20.62
3,9,93,45.81
4,1,603,3.25
4,2,1156,22.06
4,3,651,17.12
4,4,116,11.93
4,5,8,1.14
4,6,73,11.91
4,7,66,12.02
4,9,48,23.65
5,1,1412,7.62
5,2,590,11.26
5,3,1760,46.29
5,4,338,34.77
5,5,493,70.43
5,6,129,21.04
5,7,458,83.42
5,8,195,75.88
5,9,33,16.26
6,1,3229,17.42
6,2,273,5.21
6,3,48,1.26
6,4,38,3.91
6,5,46,6.57
6,6,1,0.16
6,7,6,1.09
6,8,1,0.39
7,1,1612,8.69
7,2,1,0.02
7,5,1,0.14
7,9,1,0.49
8,1,2406,12.98
8,2,351,6.7
8,4,2,0.21
8,5,3,0.43
8,6,1,0.16
8,8,7,2.72
